outer_fold,inner_fold,component,rank,train_cases,validation_cases,pooled_relative_l2_floor,median_case_relative_l2_floor,p90_case_relative_l2_floor,worst_case_relative_l2_floor,selection_use
2,2,u_X_transverse,64,41,13,0.000691525918519804,0.0006734644045418045,0.0036253336287598494,0.00425696391412958,INNER_ONLY
2,2,u_X_transverse,96,41,13,0.00026268332493952303,0.00025659375489781066,0.0015295848020406505,0.0018101660328335672,INNER_ONLY
2,2,u_X_transverse,128,41,13,0.00018660244916670073,0.00018800643327076028,0.0010759610777555631,0.0012886529946078379,INNER_ONLY
2,2,v_Y_vertical,16,41,13,0.013972507168786688,0.014257572867999474,0.015602032700007883,0.016208690739524877,INNER_ONLY
2,2,v_Y_vertical,32,41,13,0.004990654067653969,0.004939380716345126,0.005456849156842638,0.005649713150636217,INNER_ONLY
2,2,v_Y_vertical,64,41,13,0.0012195251712143402,0.0011839901052645772,0.0013682675871160926,0.0014550179393114013,INNER_ONLY
2,2,v_Y_vertical,96,41,13,0.00039628568629038744,0.00036558430078944914,0.0004653780072966348,0.0004843785146943027,INNER_ONLY
2,2,v_Y_vertical,128,41,13,0.00028054925816701034,0.0002616501584752887,0.000320240650688254,0.0003404545421188042,INNER_ONLY
2,2,w_Z_longitudinal,16,41,13,0.0033982124063600488,0.0035774330046369034,0.005040338100752404,0.005208816729464426,INNER_ONLY
2,2,w_Z_longitudinal,32,41,13,0.0008761116472198136,0.0008178055259323337,0.0014462320070094041,0.0015163275706069146,INNER_ONLY
2,2,w_Z_longitudinal,64,41,13,0.0002497110493145798,0.00025609572863344754,0.00038074683872733515,0.0003840950513233457,INNER_ONLY
2,2,w_Z_longitudinal,96,41,13,0.00022223458074425488,0.00022999479969097692,0.00033741963525632,0.00034881266680662667,INNER_ONLY
2,2,w_Z_longitudinal,128,41,13,0.0002026585709465937,0.00020608259849735108,0.00030785378707859964,0.00031581024348990416,INNER_ONLY
2,3,u_X_transverse,16,40,14,0.010569247032092324,0.021602981131159868,0.07198266076638757,0.07372567466250668,INNER_ONLY
2,3,u_X_transverse,32,40,14,0.003931492715350663,0.008948572683558576,0.02487044711355772,0.025320603965253152,INNER_ONLY
2,3,u_X_transverse,64,40,14,0.0007329935155238255,0.0016695657149220567,0.004509106286135497,0.0045284665515594475,INNER_ONLY
2,3,u_X_transverse,96,40,14,0.00028901208067176474,0.0006347444714329038,0.0018430996245675337,0.0018565475901405175,INNER_ONLY
2,3,u_X_transverse,128,40,14,0.00020591013851068365,0.0004699911645492013,0.001297443270665401,0.0013033360909089796,INNER_ONLY
2,3,v_Y_vertical,16,40,14,0.013963797661624018,0.013644737262638155,0.015733221695482746,0.01592129062014639,INNER_ONLY
2,3,v_Y_vertical,32,40,14,0.005138421222503199,0.0051081819374712385,0.005713903706679486,0.005846291151752957,INNER_ONLY
2,3,v_Y_vertical,64,40,14,0.001231461049313124,0.0012341453123095017,0.0013495880829951087,0.0013738187058900673,INNER_ONLY
2,3,v_Y_vertical,96,40,14,0.0004031584168506773,0.00039028523178328504,0.0004607483614687851,0.00047402488620759795,INNER_ONLY
