trial_id,variant,case_id,axis,model,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
R4_LHS_03,physics,V52_A_E4_C7_1T,X,S10,0.8610452481369602,True,0.0006817081126691714
COMMON_FEM,common,V52_A_E4_C7_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3432645963936713,True,0.00197168069079141
R4_LHS_03,physics,V52_A_E4_C7_1T,Y,S10,0.9246755417822168,True,0.005033388720900898
COMMON_FEM,common,V52_A_E4_C7_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.1574340964349609,True,0.0008701595960006342
R4_LHS_03,physics,V52_A_E4_C7_1T,Z,S10,0.706270956865215,True,0.003772044102230247
COMMON_FEM,common,V52_B_E4_C7_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.57883956694088,True,0.0006521917483739505
R4_LHS_03,physics,V52_B_E4_C7_1T,X,S10,0.8634765577135837,True,0.0008336909091702265
COMMON_FEM,common,V52_B_E4_C7_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.35248097021734254,True,0.0024699854576708765
R4_LHS_03,physics,V52_B_E4_C7_1T,Y,S10,0.9685070781757963,True,0.006448843718387191
COMMON_FEM,common,V52_B_E4_C7_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.18447159441996966,True,0.0011015868760204696
R4_LHS_03,physics,V52_B_E4_C7_1T,Z,S10,0.8232641244345145,True,0.004895528773424966
COMMON_FEM,common,V52_CPLUS_E4_C7_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.44997952058815965,True,0.0006400622224697134
R4_LHS_03,physics,V52_CPLUS_E4_C7_1T,X,S10,0.8545137802599477,True,0.0010993328657498585
COMMON_FEM,common,V52_CPLUS_E4_C7_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.34703656508553865,True,0.0034758142790059883
R4_LHS_03,physics,V52_CPLUS_E4_C7_1T,Y,S10,1.0039341282529257,True,0.009493090057208192
COMMON_FEM,common,V52_CPLUS_E4_C7_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.21198496538716885,True,0.0015412280433862028
R4_LHS_03,physics,V52_CPLUS_E4_C7_1T,Z,S10,1.0351304142848035,True,0.00732341110736437
COMMON_FEM,common,V52_C_E4_C7_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.46745946120691423,True,0.0006656239358315319
R4_LHS_03,physics,V52_C_E4_C7_1T,X,S10,0.8639743183397954,True,0.0009270427778636992
COMMON_FEM,common,V52_C_E4_C7_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.35397856142546263,True,0.002921425918914529
R4_LHS_03,physics,V52_C_E4_C7_1T,Y,S10,0.9665719130080604,True,0.007567965161030013
COMMON_FEM,common,V52_C_E4_C7_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.20729277450347267,True,0.001341302534989149
R4_LHS_03,physics,V52_C_E4_C7_1T,Z,S10,0.8805665284225819,True,0.005621154757508709
COMMON_FEM,common,V40_A_E5_C9_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.5218077638139278,True,0.0006234712441486825
R4_LHS_03,physics,V40_A_E5_C9_1T,X,S10,0.9430086513161489,True,0.0008830225347129528
COMMON_FEM,common,V40_A_E5_C9_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.28896377053166156,True,0.0013228705863152232
R4_LHS_03,physics,V40_A_E5_C9_1T,Y,S10,1.132873889562612,True,0.004944880073169818
