trial_id,variant,case_id,model,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
R4_LHS_03,physics,V52_B_E1_C4_2T,S10_HYBRID,displacement,Z,4.138042942436832,0.09991673605328841,0.09991673605328841,0.0,0.9975388646125793,0.01199076883494854,True,True,508
R4_LHS_03,physics,V52_B_E1_C4_2T,S10,velocity,Z,2.006648932030903,0.13322231473771787,0.13322231473771787,0.0,0.9971603155136108,-0.009153756313025951,True,True,508
COMMON_B2,common,V52_B_E1_C4_2T,B2,displacement,Z,6.074944069286586,0.09991673605328841,0.09991673605328841,0.0,0.9991207122802734,0.003008621744811535,True,True,508
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10_HYBRID,displacement,X,3.501502887922702,0.09991673605328841,0.09991673605328841,0.0,0.9953283667564392,0.002363814739510417,True,True,496
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10,velocity,X,1.08780061503509,0.16652789342214733,0.16652789342214733,0.0,0.9471140503883362,-0.011810963973402977,True,True,496
COMMON_B2,common,V52_CPLUS_E1_C4_2T,B2,displacement,X,1.4390906765511158,0.09991673605328841,0.09991673605328841,0.0,0.9958929419517517,0.006636817008256912,True,True,496
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10_HYBRID,displacement,Y,4.0750757691013355,0.06661115736885893,0.06661115736885893,0.0,0.9954515099525452,0.0,True,True,496
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10,velocity,Y,1.199719781638665,0.13322231473771787,0.13322231473771787,0.0,0.9875808358192444,-0.0031149357091635466,True,True,496
COMMON_B2,common,V52_CPLUS_E1_C4_2T,B2,displacement,Y,2.770258825212095,0.06661115736885893,0.06661115736885893,0.0,0.999754011631012,0.0,True,True,496
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10_HYBRID,displacement,Z,4.9227250933675615,0.09991673605328841,0.09991673605328841,0.0,0.9979736804962158,0.007257065735757351,True,True,508
R4_LHS_03,physics,V52_CPLUS_E1_C4_2T,S10,velocity,Z,1.7760516126152397,0.13322231473771787,0.13322231473771787,0.0,0.9975748062133789,-0.00937633402645588,True,True,508
COMMON_B2,common,V52_CPLUS_E1_C4_2T,B2,displacement,Z,6.587755492051965,0.09991673605328841,0.09991673605328841,0.0,0.9995375275611877,0.001685471972450614,True,True,508
R4_LHS_03,physics,V52_C_E1_C4_2T,S10_HYBRID,displacement,X,2.917122005072961,0.09991673605328841,0.09991673605328841,0.0,0.9929877519607544,-0.010033601894974709,True,True,496
R4_LHS_03,physics,V52_C_E1_C4_2T,S10,velocity,X,1.1645719355420963,0.16652789342214733,0.16652789342214733,0.0,0.9550564885139465,0.004370335955172777,True,True,496
COMMON_B2,common,V52_C_E1_C4_2T,B2,displacement,X,1.3372312589229138,0.09991673605328841,0.09991673605328841,0.0,0.9964247941970825,-0.008074126206338406,True,True,496
R4_LHS_03,physics,V52_C_E1_C4_2T,S10_HYBRID,displacement,Y,3.499214539046851,0.06661115736885893,0.06661115736885893,0.0,0.9957242012023926,0.0,True,True,496
R4_LHS_03,physics,V52_C_E1_C4_2T,S10,velocity,Y,1.0533161489914893,0.13322231473771787,0.13322231473771787,0.0,0.9881742000579834,0.006144706625491381,True,True,496
COMMON_B2,common,V52_C_E1_C4_2T,B2,displacement,Y,2.3923296113166312,0.06661115736885893,0.06661115736885893,0.0,0.9994857907295227,0.0,True,True,496
R4_LHS_03,physics,V52_C_E1_C4_2T,S10_HYBRID,displacement,Z,4.508936716190663,0.09991673605328841,0.09991673605328841,0.0,0.9985668659210205,-0.01524027157574892,True,True,508
R4_LHS_03,physics,V52_C_E1_C4_2T,S10,velocity,Z,1.713748322463575,0.13322231473771787,0.13322231473771787,0.0,0.9979099631309509,0.010700227692723274,True,True,508
COMMON_B2,common,V52_C_E1_C4_2T,B2,displacement,Z,5.823050878428228,0.09991673605328841,0.09991673605328841,0.0,0.9993927478790283,-0.01094266027212143,True,True,508
R4_LHS_03,physics,V40_A_E2_C5_2T,S10_HYBRID,displacement,X,1.4656350113927352,1.1990008326394608,1.1990008326394608,0.0,0.9999333620071411,0.0002229835226899013,True,True,496
R4_LHS_03,physics,V40_A_E2_C5_2T,S10,velocity,X,2.771917204382393,0.13322231473771787,1.9650291423813386,1.8318068276436208,0.8431364297866821,-0.01395915076136589,True,True,496
COMMON_B2,common,V40_A_E2_C5_2T,B2,displacement,X,1.5867297662792645,1.1990008326394608,1.1990008326394608,0.0,0.9999600052833557,-3.0806018912699074e-05,True,True,496
R4_LHS_03,physics,V40_A_E2_C5_2T,S10_HYBRID,displacement,Y,2.848826691454787,0.06661115736885893,0.06661115736885893,0.0,0.9834100008010864,0.0,True,True,496
R4_LHS_03,physics,V40_A_E2_C5_2T,S10,velocity,Y,1.8929045645427334,0.09991673605328841,0.09991673605328841,0.0,0.9720147848129272,-0.0010533991735428572,True,True,496
COMMON_B2,common,V40_A_E2_C5_2T,B2,displacement,Y,2.22953200668975,0.06661115736885893,0.06661115736885893,0.0,0.9962419271469116,0.0,True,True,496
R4_LHS_03,physics,V40_A_E2_C5_2T,S10_HYBRID,displacement,Z,3.6077639128502854,0.06661115736885893,0.06661115736885893,0.0,0.989107608795166,0.0,True,True,508
R4_LHS_03,physics,V40_A_E2_C5_2T,S10,velocity,Z,2.5955751379719083,0.09991673605328841,0.09991673605328841,0.0,0.9936747550964355,0.00015272758901119232,True,True,508
COMMON_B2,common,V40_A_E2_C5_2T,B2,displacement,Z,5.449174454976145,0.06661115736885893,0.06661115736885893,0.0,0.9952467679977417,0.0,True,True,508
R4_LHS_03,physics,V40_B_E2_C5_2T,S10_HYBRID,displacement,X,1.5858185549392507,1.1990008326394608,1.1990008326394608,0.0,0.9999219179153442,-0.00024386588484048843,True,True,496
R4_LHS_03,physics,V40_B_E2_C5_2T,S10,velocity,X,1.9555643057568803,1.998334721065768,0.13322231473771787,1.8651124063280502,0.5128703117370605,-0.07336410135030746,True,True,496
COMMON_B2,common,V40_B_E2_C5_2T,B2,displacement,X,1.622225324452131,1.1990008326394608,1.1990008326394608,0.0,0.9999432563781738,0.00011958258255617693,True,True,496
R4_LHS_03,physics,V40_B_E2_C5_2T,S10_HYBRID,displacement,Y,3.2177416492841724,0.06661115736885893,0.06661115736885893,0.0,0.992993175983429,0.0,True,True,496
R4_LHS_03,physics,V40_B_E2_C5_2T,S10,velocity,Y,1.7153807266519123,0.09991673605328841,0.09991673605328841,0.0,0.9785875082015991,0.006772253196686506,True,True,496
COMMON_B2,common,V40_B_E2_C5_2T,B2,displacement,Y,2.118133636000141,0.06661115736885893,0.06661115736885893,0.0,0.9989174604415894,0.0,True,True,496
R4_LHS_03,physics,V40_B_E2_C5_2T,S10_HYBRID,displacement,Z,3.687933199409246,0.06661115736885893,0.06661115736885893,0.0,0.9967848658561707,0.0,True,True,508
R4_LHS_03,physics,V40_B_E2_C5_2T,S10,velocity,Z,2.434850048314042,0.09991673605328841,0.09991673605328841,0.0,0.9943182468414307,-0.0078121814876794815,True,True,508
COMMON_B2,common,V40_B_E2_C5_2T,B2,displacement,Z,5.284457673785303,0.06661115736885893,0.06661115736885893,0.0,0.9993207454681396,0.0,True,True,508
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10_HYBRID,displacement,X,2.302656474905656,1.1990008326394608,1.1990008326394608,0.0,0.9998293519020081,-0.0003953929408453405,True,True,496
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10,velocity,X,1.5627915555253369,0.13322231473771787,0.13322231473771787,0.0,0.894599437713623,-0.023576613515615463,True,True,496
COMMON_B2,common,V40_CPLUS_E2_C5_2T,B2,displacement,X,1.5626733548046792,1.1990008326394608,1.1990008326394608,0.0,0.9998618364334106,-0.0001506026746938005,True,True,496
