feature,fold,repeat,delta_MAE,baseline_MAE
state_loss_weight,0,0,-0.004147965336057907,0.1318489606058634
state_loss_weight,0,1,-0.0041916372572955996,0.1318489606058634
state_loss_weight,0,2,8.99527444498116e-05,0.1318489606058634
state_loss_weight,0,3,-0.0038997845796920894,0.1318489606058634
state_loss_weight,0,4,-0.004044237995312089,0.1318489606058634
state_loss_weight,0,5,-0.002265384638686835,0.1318489606058634
state_loss_weight,0,6,-0.0019734667828222585,0.1318489606058634
state_loss_weight,0,7,3.831935922310459e-05,0.1318489606058634
state_loss_weight,0,8,-0.0025454393923440566,0.1318489606058634
state_loss_weight,0,9,-0.002278274741466413,0.1318489606058634
state_loss_weight,0,10,-0.004136816052727144,0.1318489606058634
state_loss_weight,0,11,-0.002453621798634925,0.1318489606058634
state_loss_weight,0,12,0.0007293976507705136,0.1318489606058634
state_loss_weight,0,13,-0.0019815324077840646,0.1318489606058634
state_loss_weight,0,14,-0.0026612205720775994,0.1318489606058634
state_loss_weight,0,15,-0.004672821066177807,0.1318489606058634
state_loss_weight,0,16,-0.003226542186037601,0.1318489606058634
state_loss_weight,0,17,0.002389264152312137,0.1318489606058634
state_loss_weight,0,18,0.00021310316961539733,0.1318489606058634
state_loss_weight,0,19,-0.002278274741466413,0.1318489606058634
state_loss_weight,0,20,-0.0020119167280945593,0.1318489606058634
state_loss_weight,0,21,-0.0024748471443671594,0.1318489606058634
state_loss_weight,0,22,0.00022688645343407754,0.1318489606058634
state_loss_weight,0,23,-0.0015005268892121226,0.1318489606058634
state_loss_weight,0,24,-0.0002638531490034568,0.1318489606058634
state_loss_weight,0,25,-0.001913764441962007,0.1318489606058634
state_loss_weight,0,26,0.0022576946059359726,0.1318489606058634
state_loss_weight,0,27,-0.002055974296714086,0.1318489606058634
state_loss_weight,0,28,-0.0020892430359218117,0.1318489606058634
state_loss_weight,0,29,-0.0023622876696534623,0.1318489606058634
equilibrium_loss_weight,0,0,-0.0046243281351477095,0.1318489606058634
equilibrium_loss_weight,0,1,-0.0062573941563453805,0.1318489606058634
equilibrium_loss_weight,0,2,0.00044987302245516614,0.1318489606058634
equilibrium_loss_weight,0,3,-0.004388638259635674,0.1318489606058634
equilibrium_loss_weight,0,4,-0.0041991554094266414,0.1318489606058634
equilibrium_loss_weight,0,5,-0.003935050415352165,0.1318489606058634
equilibrium_loss_weight,0,6,-0.00346545882869001,0.1318489606058634
equilibrium_loss_weight,0,7,-0.0023788614363495497,0.1318489606058634
equilibrium_loss_weight,0,8,-0.0062598099518476336,0.1318489606058634
equilibrium_loss_weight,0,9,-0.0018230827479536471,0.1318489606058634
equilibrium_loss_weight,0,10,-0.00365898314050922,0.1318489606058634
equilibrium_loss_weight,0,11,-0.005356422703974045,0.1318489606058634
equilibrium_loss_weight,0,12,-0.0008839770171426009,0.1318489606058634
equilibrium_loss_weight,0,13,-0.009421138670906576,0.1318489606058634
