edge_index,local_axis,mid_X_m,mid_Y_m,mid_Z_m,dir_X,dir_Y,dir_Z
41103,local x,-7.864399999999999,-8.092092775020378,-93.00898318463803,0.7655220818339633,-2.595115240033849e-14,-0.6434096224215137
41510,local x,-8.335999999999999,2.61201573743441e-14,-99.923842,1.5446581212178686e-13,7.438900329533005e-13,1.0
41917,local x,-7.812000000000001,7.39563237560605e-15,-99.8685,0.0,3.614413594118482e-16,1.0
42324,local x,0.4716000000000058,3.393023000985649e-14,-107.29960779999999,0.848113218355297,3.272766317384779e-14,-0.5298150326774624
42731,local x,0.0,1.0239825089662712e-14,-107.09949999999998,0.0,5.811567611035059e-14,1.0
43138,local x,-7.812000000000001,1.0852829635225247e-14,-103.81350000000002,0.0,-4.2425450842318503e-13,1.0
43545,local x,0.52400000000001,2.0757844673223405e-14,-112.159842,0.0,-2.6114955031624176e-16,1.0
43952,local x,-8.336,2.04810261498882e-14,-111.09984200000001,0.0,-2.611495503162192e-16,1.0
44359,local x,-7.812,-13.771848282371117,-107.77272637185838,0.0,-0.8616291604415002,0.5075383629607475
44766,local x,-8.336,-7.959361811369254,-111.7391347424157,0.0,-0.7104310798497513,0.7037667801079532
45173,local x,0.0,-7.888547675321393,-111.80928459639318,0.0,-0.7104310798497374,0.7037667801079673
45580,local x,0.0,-3.2084664105352765,-117.43242471914952,0.0,-0.32110890475578796,0.9470422753428372
45987,local x,-6.69,-0.37767400000001006,-120.97218413978496,0.0,-3.0254411043922205e-16,-1.0
46394,local x,0.0,-1.8935707396568278,-120.33,0.0,-1.0,0.0
46801,local x,0.0,-1.4461032603431727,-123.05000000000001,0.0,-1.0,0.0
47208,local x,-1.122,-0.37767400000001,-128.6817357910906,0.0,0.0,1.0
47615,local x,-4.145272566646821,-2.226,-130.21999999999997,1.0,0.0,0.0
48022,local x,-2.872,-1.040074,-132.61,0.0,1.0,0.0
48429,local x,-4.94,-0.7456740000000002,-135.0,0.0,1.0,0.0
0,local y,-2.872,-0.37767400000001,-0.48814359674575003,-0.0,1.0,0.0
406,local y,-8.074,0.0,0.0,-0.0,1.0,-0.0
813,local y,-2.872,-0.37767400000001,-7.486341525857651,-0.0,1.0,0.0
1220,local y,-7.812,-0.5984740000000071,-7.17,1.0,0.0,-0.0
1627,local y,0.0,0.0,-6.999680828295489,-0.0,1.0,0.0
2034,local y,-2.872,-0.37767400000001,-13.8246129032258,-0.0,1.0,0.0
2441,local y,0.26200000000000506,-2.226,-14.34,-0.0,1.0,-0.0
2848,local y,-7.812000000000001,-0.03776739999999999,-17.7095880582071,0.0,-0.0,1.0
3255,local y,0.0,-3.147431218022181,-17.387564989209622,0.0,0.9470422753428537,-0.3211089047557388
3662,local y,-8.2836,8.033658344315255e-15,-20.577607800000003,5.888679951612643e-14,-1.0,-5.631869769604765e-14
4069,local y,-1.1220000000000003,-0.37767400000001006,-31.79701015368753,-0.0,1.0,-0.0
4476,local y,0.52400000000001,-4.134846787926451,-20.5990306857192,-0.0,0.0,1.0
4883,local y,0.15720000000000825,-15.68322118656728,-30.013903315994455,-0.5715469897381995,-0.7122733635951747,-0.4074318274681276
5290,local y,-1.1220000000000003,-0.37767400000001006,-34.562964950698245,-0.0,1.0,-0.0
5697,local y,0.0,-11.226738364359058,-32.63897231317999,-0.0,0.5075383629607063,0.8616291604415242
6104,local y,0.52400000000001,8.218035081212988e-15,-37.40684200000002,0.0,1.0,3.6144135941182483e-16
6511,local y,-0.5184817142462139,-13.276037566461046,-31.431842831027275,0.8053634353715012,0.5107577027827717,-0.3008592794225887
6918,local y,-8.336,1.1283057809025672e-14,-45.88684200000001,0.0,1.0,3.614413594118424e-16
