trial_id,variant,seed,case_id,quantity,axis,band_low_hz,band_high_hz,predicted_energy,target_energy,relative_energy_error
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,X,5.0,10.0,9.42702478896846e-11,8.229161457290865e-11,0.1455632311863699
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,X,10.0,20.0,7.745901097220836e-11,6.852733651441479e-11,0.13033739398166722
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Y,0.0,0.5,0.00015717229068604893,0.00016028219023949853,0.019402651965278857
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Y,0.5,1.0,1.775583707374638e-07,1.8670625265654386e-07,0.04899611978131267
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Y,1.0,2.0,7.102997110645304e-08,8.016661464737087e-08,0.1139706794543739
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Y,2.0,5.0,4.2311950738379226e-08,2.7856081702567766e-08,0.5189484002152005
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Y,5.0,10.0,1.2761906648482788e-08,3.5994965311635415e-09,2.545469911692757
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Y,10.0,20.0,9.11350051592951e-09,6.297514576610359e-09,0.44715830429008013
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Z,0.0,0.5,7.692285980829065e-05,8.013654332666115e-05,0.04010259720425593
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Z,0.5,1.0,4.072496290423697e-08,2.2769814854034047e-08,0.7885504632033437
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Z,1.0,2.0,8.59958667991241e-08,6.728784258987377e-08,0.2780297820406822
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Z,2.0,5.0,9.796706321925616e-08,1.7707112395369804e-08,4.532639147017181
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Z,5.0,10.0,4.02923048704962e-08,1.3087435010959436e-09,29.787014290237444
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,Z,10.0,20.0,2.1505733068458793e-08,9.518520487025025e-10,21.593567033630794
COMMON_B2,common,-1,V52_CPLUS_E1_C4_2T,total_displacement,X,0.0,0.5,9.588039667279272e-07,9.883778994468947e-07,0.02992168555723203
COMMON_B2,common,-1,V52_CPLUS_E1_C4_2T,total_displacement,X,0.5,1.0,1.6654909147626536e-09,2.2174957290881968e-09,0.2489316245729681
COMMON_B2,common,-1,V52_CPLUS_E1_C4_2T,total_displacement,X,1.0,2.0,1.354514132459969e-09,1.810588316337212e-09,0.25189281282885606
COMMON_B2,common,-1,V52_CPLUS_E1_C4_2T,total_displacement,X,2.0,5.0,3.0477909700127437e-10,2.9990858504888033e-10,0.01623998843380967
