trial_id,variant,seed,case_id,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,total_displacement,Y,3.882712924396762,0.06661115736885893,0.06661115736885893,0.0,0.9976486563682556,0.0,True,True,496
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,incremental_velocity,Y,1.228302292901664,0.13322231473771787,0.13322231473771787,0.0,0.9717891812324524,-0.008438339456915855,True,True,496
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,total_displacement,Z,4.746230133437475,0.09991673605328841,0.09991673605328841,0.0,0.9994627833366394,-0.0014362800866365433,True,True,508
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,incremental_velocity,Z,1.887109440435198,0.13322231473771787,0.13322231473771787,0.0,0.9958264231681824,0.006003064569085836,True,True,508
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,total_displacement,X,1.74459252036988,1.1990008326394608,1.1990008326394608,0.0,0.9999153017997742,-6.904260226292536e-05,True,True,496
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,incremental_velocity,X,1.3993279571891002,0.16652789342214733,0.16652789342214733,0.0,0.9211318492889404,-0.014716860838234425,True,True,496
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,total_displacement,Y,3.3796435113619094,0.06661115736885893,0.06661115736885893,0.0,0.9980356097221375,0.0,True,True,496
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,incremental_velocity,Y,1.2457913854851623,0.13322231473771787,0.13322231473771787,0.0,0.9735900163650513,-0.008933012373745441,True,True,496
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,total_displacement,Z,4.158172985715031,0.09991673605328841,0.09991673605328841,0.0,0.999521791934967,0.004542093724012375,True,True,508
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,incremental_velocity,Z,2.022749879628643,0.13322231473771787,0.13322231473771787,0.0,0.9961115121841431,0.00464475154876709,True,True,508
