trial_id,variant,model,case_id,axis,relative_l2
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C3_0T,Z,0.0211250461351502
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C8_0T,X,0.0103860197426836
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C8_0T,Y,0.0163873051429599
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C8_0T,Z,0.0271748600555043
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E1_C4_2T,X,0.1200183541924579
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E1_C4_2T,Y,0.0433215592911883
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E1_C4_2T,Z,0.0594167333847641
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E2_C5_2T,X,0.0143950007543344
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E2_C5_2T,Y,0.0470615404606789
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E2_C5_2T,Z,0.0570832323064019
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E3_C6_1T,X,0.056148387047334
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E3_C6_1T,Y,0.0241460638551436
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E3_C6_1T,Z,0.0190449128377843
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E4_C7_1T,X,0.0114837846014703
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E4_C7_1T,Y,0.0380049726388363
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E4_C7_1T,Z,0.0249632299963294
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E5_C9_1T,X,0.0187582739665875
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E5_C9_1T,Y,0.0491593984228299
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E5_C9_1T,Z,0.0342944456832888
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E6_C10_1T,X,0.0512643972311425
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E6_C10_1T,Y,0.0226199649370315
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E6_C10_1T,Z,0.0151349971518637
