case_id,axis,reference_energy,error_energy,relative_l2,model,outer_fold
V40_A_E6_C10_1T,w,419.9929464670844,0.21728444684378995,0.02274538655511373,B2_COMMON_SPLIT,4
V40_B_E3_C6_1T,u,1.1525724891212348,0.002362349349179292,0.045272860604342165,B2_COMMON_SPLIT,4
V40_B_E3_C6_1T,v,322.87321076574443,0.171293436831292,0.02303320406659667,B2_COMMON_SPLIT,4
V40_B_E3_C6_1T,w,435.48030305518705,0.30559921528510925,0.02649060391259914,B2_COMMON_SPLIT,4
V40_B_E4_C7_1T,u,36.06197774446599,0.003150175138849334,0.00934636159973842,B2_COMMON_SPLIT,4
V40_B_E4_C7_1T,v,323.1576765754063,0.14085102459580612,0.020877224759963724,B2_COMMON_SPLIT,4
V40_B_E4_C7_1T,w,435.58993124561005,0.25992442720646447,0.024427815524374324,B2_COMMON_SPLIT,4
V40_CPLUS_E5_C9_1T,u,37.55058975586298,0.005341977894963242,0.011927314259893431,B2_COMMON_SPLIT,4
V40_CPLUS_E5_C9_1T,v,408.27907666804106,0.33611207562902584,0.028692176645742647,B2_COMMON_SPLIT,4
V40_CPLUS_E5_C9_1T,w,483.3540907106657,0.7798595651591284,0.04016756474594549,B2_COMMON_SPLIT,4
V40_CPLUS_E7_C11_2T,u,35.85747657970444,0.007410829764701822,0.014376181822067263,B2_COMMON_SPLIT,4
V40_CPLUS_E7_C11_2T,v,585.6371514636774,0.3878172682952499,0.02573352389710284,B2_COMMON_SPLIT,4
V40_CPLUS_E7_C11_2T,w,228.47448972180814,0.6483388342516995,0.05326993414322646,B2_COMMON_SPLIT,4
V40_C_E7_C11_2T,u,35.547536506375785,0.005965806747292149,0.012954773852487196,B2_COMMON_SPLIT,4
V40_C_E7_C11_2T,v,426.859295479802,0.25181252992728287,0.024288254032095346,B2_COMMON_SPLIT,4
V40_C_E7_C11_2T,w,159.9010728900813,0.3457419609812177,0.046499722013087476,B2_COMMON_SPLIT,4
V52_A_E2_C5_2T,u,35.22071139566634,0.0025861427597819757,0.008568941653054128,B2_COMMON_SPLIT,4
V52_A_E2_C5_2T,v,237.14729642438965,0.16856484527447785,0.026660875951142634,B2_COMMON_SPLIT,4
V52_A_E2_C5_2T,w,81.8032893013476,0.1862166562683589,0.04771158877191836,B2_COMMON_SPLIT,4
V52_B_E8_C12_2T,u,0.3752219771158369,0.0026639997232700743,0.084260290859444,B2_COMMON_SPLIT,4
V52_B_E8_C12_2T,v,290.7986244107603,0.15618822761965864,0.02317543926317786,B2_COMMON_SPLIT,4
V52_B_E8_C12_2T,w,104.16561061971845,0.19942760992520756,0.04375527927951196,B2_COMMON_SPLIT,4
